                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.84367,                0.44096,                 1.0269,                0.90024,                0.78816,                0.87208,                0.50128,                 1.3972,                 0.6062,                 1.5065,              0.0001981,              0.0001981,              0.0001981
                     83,                0.84477,                0.44189,                 1.0207,                0.90577,                0.79551,                0.87814,                0.50764,                 1.3917,                0.60852,                 1.5019,              0.0001882,              0.0001882,              0.0001882
                     84,                0.84409,                0.43718,                 1.0252,                 0.8906,                0.80246,                0.87871,                0.50754,                 1.3952,                0.60397,                 1.5068,              0.0001783,              0.0001783,              0.0001783
                     85,                0.84504,                0.44521,                 1.0284,                0.88995,                0.79697,                0.87099,                0.50067,                 1.3995,                0.60658,                 1.5147,              0.0001684,              0.0001684,              0.0001684
                     86,                0.84556,                0.43821,                 1.0239,                0.89911,                0.79326,                0.86774,                0.50067,                 1.3947,                0.60434,                 1.5122,              0.0001585,              0.0001585,              0.0001585
                     87,                0.84173,                0.43781,                 1.0176,                0.89997,                0.79527,                0.87894,                0.50203,                  1.403,                0.61184,                 1.5174,              0.0001486,              0.0001486,              0.0001486
                     88,                0.84011,                0.44121,                 1.0266,                0.86954,                0.80163,                0.87565,                0.50096,                 1.4011,                0.60612,                 1.5128,              0.0001387,              0.0001387,              0.0001387
                     89,                0.84398,                0.44259,                 1.0212,                0.86236,                0.80656,                0.87528,                0.50595,                 1.3944,                0.60193,                 1.5087,              0.0001288,              0.0001288,              0.0001288
                     90,                0.83514,                0.43683,                 1.0193,                0.87982,                0.80078,                0.87901,                0.50742,                 1.3979,                 0.6106,                 1.5129,              0.0001189,              0.0001189,              0.0001189
                     91,                0.87147,                0.43098,                 1.0277,                0.85642,                0.79382,                0.86599,                0.49642,                 1.3915,                0.61235,                  1.526,               0.000109,               0.000109,               0.000109
                     92,                0.83064,                0.40415,                 1.0109,                0.88686,                0.78106,                0.87372,                 0.4918,                 1.4032,                0.63319,                 1.5448,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.81179,                0.39406,                 1.0057,                0.89178,                 0.7804,                0.87145,                0.48608,                 1.4028,                0.62715,                 1.5421,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.80756,                0.38675,                0.99477,                0.87873,                0.78414,                0.87547,                0.50341,                 1.3959,                0.61913,                   1.53,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.80968,                0.38451,                 1.0065,                0.87127,                0.78827,                0.87234,                0.50165,                 1.3975,                0.61708,                 1.5327,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.79781,                 0.3828,                0.99085,                0.89773,                0.78812,                0.87686,                0.49976,                 1.3995,                0.61891,                 1.5321,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 0.8009,                0.37946,                0.98928,                0.89581,                 0.7825,                0.87438,                0.49729,                 1.3949,                0.61576,                 1.5282,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.79344,                0.38297,                0.98811,                0.90122,                0.78655,                0.88089,                0.50112,                 1.3975,                0.61241,                 1.5292,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.79688,                0.38024,                0.99134,                0.89433,                0.78652,                0.87869,                0.50086,                 1.3979,                0.60963,                 1.5292,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.79086,                0.37877,                0.98994,                0.89729,                0.78286,                0.87751,                0.50047,                 1.3933,                0.61193,                 1.5222,               1.99e-05,               1.99e-05,               1.99e-05
